| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| ------------------------ | --- | ----------------------- | ------------------------ | ----------- | ----------- | ----------------------------------------------- | -------- | -------- | --------- |
| attendance_messages      | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| attendance_messages      | 2   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| attendance_messages      | 3   | message                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| attendance_messages      | 4   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| badge_awards             | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| badge_awards             | 2   | badge_id                | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| badge_awards             | 3   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| badge_awards             | 4   | rank                    | integer                  | int4        | YES         | null                                            | null     | 32       | 0         |
| badge_awards             | 5   | awarded_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| badges                   | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| badges                   | 2   | code                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| badges                   | 3   | name                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| badges                   | 4   | description             | text                     | text        | YES         | null                                            | null     | null     | null      |
| badges                   | 5   | icon                    | text                     | text        | NO          | '🏅'::text                                      | null     | null     | null      |
| badges                   | 6   | is_ranked               | boolean                  | bool        | NO          | true                                            | null     | null     | null      |
| badges                   | 7   | metadata                | jsonb                    | jsonb       | NO          | '{}'::jsonb                                     | null     | null     | null      |
| badges                   | 8   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| chat_messages            | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| chat_messages            | 2   | room_id                 | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| chat_messages            | 3   | user_id                 | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| chat_messages            | 4   | character_name          | text                     | text        | YES         | null                                            | null     | null     | null      |
| chat_messages            | 5   | msg_type                | text                     | text        | NO          | 'chat'::text                                    | null     | null     | null      |
| chat_messages            | 6   | content                 | text                     | text        | NO          | null                                            | null     | null     | null      |
| chat_messages            | 7   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| chat_room_members        | 1   | room_id                 | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| chat_room_members        | 2   | user_id                 | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| chat_room_members        | 3   | added_at                | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| chat_rooms               | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| chat_rooms               | 2   | name                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| chat_rooms               | 3   | room_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| chat_rooms               | 4   | is_open                 | boolean                  | bool        | NO          | false                                           | null     | null     | null      |
